,SMILES,HC50.exp,Molar.Weight,LogP,TPSA,Ipc,Heavy.Atom.Count,Heavy.AtomMol.Weight,NHOH.Count,H.Acceptors,H.Donors,Heteroatoms,Rotatable.Bonds,Valence.Electrons,Radical.Electrons,Amide.Groups,Aromatic.Rings,Aliphatic.Rings,Ring.Count,CSP3s,Aromatic.Heterocycles,Aromatic.Carbocycles,Saturated.Heterocycles,Saturated.Carbocycles,Aliphatic.Heterocycles,Aliphatic.Carbocycles,Aliphatic.Carboxylic.Acids,Aliphatic.Hydroxyl.Groups,Aliphatic.Hydroxyl.Groups.Exc.TertOH,Aromatic.Nitrogens,Aromatic.Carboxylic.Acide,Functional.N.Groups.Att.To.Aromatics,Aromatic.Amines,Aromatic.Hydroxyl.Groups,Carboxylic.Acids1,Carboxylic.Acids2,Carbonyl.O.Exc.COOH,Thiocarbonyl,HOCCN.tert,Imines,Tertiary.Amines,Secondary.Amines,Primary.Amines,Hydroxylamine.Groups,XCCNR1.Groups,XCCNR2.Groups,Thiol.Groups,Aldehydes,Amides,Anilines,Aryl.Methyl.Sites,Azide.Groups,Azo.Groups,Barbiturate.Groups,Benzene.Rings,Benzodiazepines.W.O.Additional.Fused.Rings,Bicyclic,Diazo.Groups,Dihydropyridines,Epoxide.Groups,Esters,Furan.Rings,Guanidine.Groups,Halogens,Hydrazine.Groups,Hydrazone.Groups,Imidazole.Rings,Imide.Groups,Isocyanates,Isothiocyanates,Ketones,Ketone.Exc,Beta.Lactams,Cyclic.Esters,Methoxy.Groups,Morpholine.Rings,Nitriles,Nitro.Groups,Nitro.Benzene.Ring.Substituents,Non.Ortho.Benzene.Rings.Substituents,Nitroso.Groups.Excl.NO2,Oxazole.Rings,Oxime.Groups,Para.Hydroxylation.Sites,Phenols,Phenolic.OH.Excl,Phopshoric.Acid.Groups,Phosphoric.Ester.Groups,Piperzine.Rings,Primary.Amides,Primary.Sulfonamides,Pyridine.Rings,Thioether,Sulfonamides,Sulfone.Groups,Terminal.Acetylenes,Tetrazole.Rings,Thiazole.Rings,Thiocyanates,Thiophene.Rings,Unbranched.Alkanes,Urea.Groups,MACCS1,MACCS2,MACCS3,MACCS4,MACCS5,MACCS6,MACCS7,MACCS8,MACCS9,MACCS10,MACCS11,MACCS12,MACCS13,MACCS14,MACCS15,MACCS16,MACCS17,MACCS18,MACCS19,MACCS20,MACCS21,MACCS22,MACCS23,MACCS24,MACCS25,MACCS26,MACCS27,MACCS28,MACCS29,MACCS30,MACCS31,MACCS32,MACCS33,MACCS34,MACCS35,MACCS36,MACCS37,MACCS38,MACCS39,MACCS40,MACCS41,MACCS42,MACCS43,MACCS44,MACCS45,MACCS46,MACCS47,MACCS48,MACCS49,MACCS50,MACCS51,MACCS52,MACCS53,MACCS54,MACCS55,MACCS56,MACCS57,MACCS58,MACCS59,MACCS60,MACCS61,MACCS62,MACCS63,MACCS64,MACCS65,MACCS66,MACCS67,MACCS68,MACCS69,MACCS70,MACCS71,MACCS72,MACCS73,MACCS74,MACCS75,MACCS76,MACCS77,MACCS78,MACCS79,MACCS80,MACCS81,MACCS82,MACCS83,MACCS84,MACCS85,MACCS86,MACCS87,MACCS88,MACCS89,MACCS90,MACCS91,MACCS92,MACCS93,MACCS94,MACCS95,MACCS96,MACCS97,MACCS98,MACCS99,MACCS100,MACCS101,MACCS102,MACCS103,MACCS104,MACCS105,MACCS106,MACCS107,MACCS108,MACCS109,MACCS110,MACCS111,MACCS112,MACCS113,MACCS114,MACCS115,MACCS116,MACCS117,MACCS118,MACCS119,MACCS120,MACCS121,MACCS122,MACCS123,MACCS124,MACCS125,MACCS126,MACCS127,MACCS128,MACCS129,MACCS130,MACCS131,MACCS132,MACCS133,MACCS134,MACCS135,MACCS136,MACCS137,MACCS138,MACCS139,MACCS140,MACCS141,MACCS142,MACCS143,MACCS144,MACCS145,MACCS146,MACCS147,MACCS148,MACCS149,MACCS150,MACCS151,MACCS152,MACCS153,MACCS154,MACCS155,MACCS156,MACCS157,MACCS158,MACCS159,MACCS160,MACCS161,MACCS162,MACCS163,MACCS164,MACCS165,MACCS166,MACCS167
1,[O-][N+](=O)c1ccc(Cl)cc1,0.64962390394046,0.191031281316143,0.680641904393151,0.124208222964413,1.33209345665483e-07,0.2,0.194228264594996,0,0.105263157894737,0,0.210526315789474,0.0476190476190476,0.170940170940171,0,0,0.2,0,0.142857142857143,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
2,Nc1ccc(cc1)[N+]([O-])=O,0.704039752650214,0.16192646052125,0.615015426388314,0.199124726477024,1.33209345665483e-07,0.2,0.161559846147987,0.111111111111111,0.157894736842105,0.0769230769230769,0.210526315789474,0.0476190476190476,0.170940170940171,0,0,0.2,0,0.142857142857143,0,0,0.2,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.125,0,0.2,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
3,CCc1ccccc1,1.06400440939323,0.114055546318308,0.680690915952527,0,6.65386460788967e-08,0.15,0.106736737880346,0,0,0,0,0.0476190476190476,0.128205128205128,0,0,0.2,0,0.142857142857143,0.25,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
4,C=Cc1ccccc1,1.04069872870918,0.111035715195173,0.685628830559687,0,6.65386460788967e-08,0.15,0.106736737880346,0,0,0,0,0.0476190476190476,0.11965811965812,0,0,0.2,0,0.142857142857143,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
5,ClCc1ccccc1,0.449488915478582,0.144640324032673,0.691497964794997,0,6.65386460788967e-08,0.15,0.142445637686127,0,0,0,0.0526315789473684,0.0476190476190476,0.128205128205128,0,0,0.2,0,0.142857142857143,0.142857142857143,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
6,OCc1ccccc1,1.66141698120992,0.117009468428834,0.615131828841832,0.0582459979269838,6.65386460788967e-08,0.15,0.112811607448875,0.0555555555555556,0.0526315789473684,0.0769230769230769,0.0526315789473684,0.0476190476190476,0.128205128205128,0,0,0.2,0,0.142857142857143,0.142857142857143,0,0.2,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0
7,O=Cc1ccccc1,1.08920581885123,0.113989637305699,0.634748705482188,0.0491477599907866,6.65386460788967e-08,0.15,0.112811607448875,0,0.0526315789473684,0,0.0526315789473684,0.0476190476190476,0.11965811965812,0,0,0.2,0,0.142857142857143,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
8,C1N2CN3CN1CN(C2)C3,4.43733119037451,0.165018192385412,0.480429684341052,0.0373142922952897,2.54884560032203e-07,0.2,0.155491069728474,0,0.210526315789474,0,0.210526315789474,0,0.188034188034188,0,0,0,0.666666666666667,0.571428571428571,1,0,0,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
9,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,-0.958521861811535,0.367742331711073,0.761952081398398,0.145974893469999,3.30179881330872e-06,0.35,0.372394988384935,0.0555555555555556,0.210526315789474,0.0769230769230769,0.368421052631579,0.0952380952380952,0.299145299145299,0,0,0.4,0,0.285714285714286,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.375,0.25,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0
10,COC(=O)c1ccccc1[S](=O)(=O)NC(=O)N(C)c2nc(C)nc(OC)n2,1.59768294003359,0.547300951037093,0.574147137602404,0.405044339513993,0.000518613202631908,0.625,0.53656727217335,0.0555555555555556,0.473684210526316,0.0769230769230769,0.631578947368421,0.238095238095238,0.564102564102564,0,0,0.4,0,0.285714285714286,0.266666666666667,0.333333333333333,0.2,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.666666666666667,0,0,0,0.5,0.25,0,0,0,0,0,0,0.4,0.333333333333333,0.25,0,0,0,0.2,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
